id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved
27014,A.W. Smith Building,2102 Adelbert Rd,Cleveland,Ohio,True,True,One gender-neutral bathroom on the 3rd floor by room 329.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5029443,-81.6069032,2016-12-07T15:41:20.814Z,2016-12-07T15:41:20.814Z,0,1,US,False,27014,True
27015,Art Studio,2215 Adelbert Rd,Cleveland,Ohio,True,True,One gender-neutral bathroom on the 1st floor.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5018812,-81.6030622,2016-12-07T15:44:08.406Z,2016-12-07T15:44:08.406Z,0,0,US,False,27015,True
27016,Clark Hall,11130 Bellflower Rd,Cleveland,Ohio,True,True,One gender-neutral bathroom on the 3rd floor.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5089519,-81.6074953,2016-12-07T15:47:23.414Z,2016-12-07T15:47:23.414Z,0,0,US,False,27016,True
27017,Church of the Covenant,11205 Euclid Ave,Cleveland,Ohio,True,True,"Three gender-neutral bathrooms:
-One on the 1st floor by the cafeteria.
-Two on the 2nd floor by the lounge and at the sanctuary entrance.",Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5083754,-81.6072403,2016-12-07T15:48:27.217Z,2016-12-07T15:48:27.217Z,0,0,US,False,27017,True
27018,Haydn Hall,11118 Bellflower Rd,Cleveland,Ohio,True,True,"Two gender-neutral bathrooms:
-One in the basement at the end of the hallway (not ADA accessible).
-One on the 1st floor in the main part of the library.",Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5086017,-81.6076548,2016-12-07T15:57:21.472Z,2016-12-07T15:57:21.472Z,0,0,US,False,27018,True
27019,Mandel Center for Nonprofit Organizations,11402 Bellflower Rd.,Cleveland,Ohio,True,False,One gender-neutral bathroom on the 2nd floor by the large staircase.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5109629,-81.605498,2016-12-07T16:00:50.398Z,2016-12-07T16:00:50.398Z,0,0,US,False,27019,True
27020,Mandel School for Applied Social Sciences,11235 Bellflower Rd,Cleveland,Ohio,True,True,Two gender-neutral bathrooms on the 1st floor at the end of the left hallway.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.510681,-81.6072471,2016-12-07T16:02:13.518Z,2016-12-07T16:02:13.518Z,0,0,US,False,27020,True
27021,Rockefeller Building,2076 Adelbert Rd,Cleveland,Ohio,True,True,One gender-neutral bathroom on the 4th floor by the drinking fountains.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5035829,-81.6077597,2016-12-07T16:03:09.740Z,2016-12-07T16:03:09.740Z,0,0,US,False,27021,True
27022,Sears Building,2083 Martin Luther King Jr Dr,Cleveland,Ohio,True,False,"Three gender-neutral bathrooms:
-One on the 3rd floor next to Grab-It.
-Two on the 2nd floor next to UCS.",Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5027602,-81.6082156,2016-12-07T16:04:05.117Z,2016-12-07T16:04:05.117Z,0,0,US,False,27022,True
27023,Stephanie Tubbs Jones Residence Hall,1576 E. 115th St.,Cleveland,Ohio,True,True,Two gender-neutral bathrooms on the 1st floor by the main entrance.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5151719,-81.6047337,2016-12-07T16:09:15.971Z,2016-12-07T16:09:15.971Z,0,0,US,False,27023,True
27024,Thwing Center,10900 Euclid Ave,Cleveland,Ohio,True,False,Two gender-neutral bathrooms on the 1st floor of the Bellflower House.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5074022,-81.6083276,2016-12-07T16:11:35.772Z,2016-12-07T16:11:35.772Z,0,0,US,False,27024,True
27025,Tomlinson Hall,109000 Euclid Ave,Cleveland,Ohio,True,True,One gender-neutral bathroom on the 1st floor to the left of the main entrance.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5040341,-81.6096276,2016-12-07T16:15:31.360Z,2016-12-07T16:15:31.360Z,0,0,US,False,27025,True
27026,Veale Athletic Center,11038 Bellflower Rd,Cleveland,Ohio,True,False,"Three gender-neutral bathrooms in the basement:
-Two in the hallway by the Issue Room/Desk.
-One in the weight room.",Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.508117,-81.6086729,2016-12-07T16:17:18.459Z,2016-12-07T16:17:18.459Z,0,0,US,False,27026,True
27027,Alumni House,11310 Juniper Rd,Cleveland,Ohio,True,False,"Seven single stall bathrooms with gendered signs:
-One in the basement (not ADA accessible).
-Two on the 1st floor.
-Two on the 2nd floor (not ADA accessible).
-Two on the 3rd floor (not ADA accessible).",Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.511702,-81.6069359,2016-12-07T16:21:13.154Z,2016-12-07T16:21:13.154Z,0,0,US,False,27027,True
27028,Amasa Stone Chapel,10940 Euclid Ave,Cleveland,Ohio,True,False,One single stall bathroom with gendered sign at the front right side of the sanctuary.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5049276,-81.609064,2016-12-07T16:22:33.573Z,2016-12-07T16:22:33.573Z,0,0,US,False,27028,True
