Name,City,State
Parkside Arts & Humanities Residential College,Los Angeles,California 
Children's Book World,Los Angeles,California 
Burger King,Los Angeles,California 
Casita Del Campo,Los Angeles,California 
Mohawk Bend ,Los Angeles,California 
Rascal,Los Angeles,California 
The Coffee Bean & Tea Leaf,Los Angeles,California 
The Mermaid Bar,Los Angeles,California 
Intelligentsia Coffee,Los Angeles,California 
Marina Ralphs,Los Angeles,California 
USC Village Fitness Center,Los Angeles,California 
Venice Beach Boardwalk,Los Angeles,California 
Pine + Crane,Los Angeles,California 
Banc of California stadium,Los Angeles,California 
Frogtown Brewery,Los Angeles,California 
Art Share LA,Los Angeles,California 
Rough Trade,Los Angeles,California 
Delicious pizza,Los Angeles,California 
Mozza Pizzeria,Los Angeles,California 
SUSTAINABOWL,Los Angeles,California 
USC Games Ground Level ,Los Angeles,California 
Starbucks,Los Angeles,California 
Island Resturaunt ,Los Angeles,California 
LA Boulder,Los Angeles,California 
USC Office of Religious Life,Los Angeles,California 
Hollywood Adventist Church,Los Angeles,California 
Arena cinelounge,Los Angeles,California 
Blue Bottle Coffee,Los Angeles,California 
Tenno Sushi,Los Angeles,California 
The Pie Hole,Los Angeles,California 
Jewel Restaurant ,Los Angeles,California 
76 Gas Station,Los Angeles,California 
"University of Southern California, SDP School of Social Work ",Los Angeles,California 
Jon Bon Jovi,Los Angeles,California 
Veggie Grill,Los Angeles,California 
Hampton Inn Chicago McCormick Place,Chicago,IL
Cobb Hall - University of Chicago,Chicago,IL
Chicago Theater,Chicago,IL
FreeGeek Chicago,Chicago,IL
Coffee Chicago,Chicago,IL
Renaissance Downtown Chicago Hotel,Chicago,IL
The School of the Art Institute of Chicago,Chicago,IL
School of the Art Institute of Chicago,Chicago,IL
School of the Art Institute of Chicago,Chicago,IL
Chicago OHare International Airport,Chicago,IL
Project WISH at the University of Illinois at Chicago,Chicago,IL
University of Illinois at Chicago,Chicago,IL
Loyola University Chicago,Chicago,IL
Loyola University Chicago,Chicago,IL
Loyola University Chicago,Chicago,IL
Loyola University Chicago,Chicago,IL
Loyola University Chicago,Chicago,IL
Loyola University Chicago,Chicago,IL
Chicago Diner,Chicago,IL
Chicago Theological Seminary,Chicago,IL
Lutheran School of Theology at Chicago,Chicago,IL
Columbia College Chicago,Chicago,IL
Columbia College Chicago,Chicago,IL
Lutheran School of Theology at Chicago,Chicago,IL
"Behavioral Science Building, University of Illinois at Chicago",Chicago,IL
Chicago grind coffeehouse ,Chicago,IL
Freehand Chicago Hotel/Hostel,Chicago,IL
"1530 W Jackson Blvd, Chicago, IL 60607, USA",Chicago,IL
Bru Chicago,Chicago,IL
Columbia College Chicago ,Chicago,IL
"952-954 W Armitage Ave, Chicago, IL 60614, USA",Chicago,IL
"198 E Delaware Pl, Chicago, IL 60611, USA",Chicago,IL
"Children's museum, Navy Pier, 600 E Grand Ave, Chicago, IL 60611, USA",Chicago,IL
Lyric Opera of Chicago,Chicago,IL
University of Chicago,Chicago,IL
University of Chicago,Chicago,IL
Chicago Athletic Association,Chicago,IL
Chicago Athletic Association,Chicago,IL
G-Mart Comics Chicago,Chicago,IL
School of The Art Institute of Chicago - Sharp Building,Chicago,IL
The Chicago School of Professional Psychology,Chicago,IL
"Library of the Health Sciences, University of Illinois at Chicago",Chicago,IL
Chicago Shakespeare Theater,Chicago,IL
"1818 N Wells St, Chicago, IL 60614, USA",Chicago,IL
The Yard at Chicago Shakespeare Theater,Chicago,IL
"Terminal 3, Chicago, IL 60666, USA",Chicago,IL
Chicago Children’s Museum,Chicago,IL
Eataly Chicago,Chicago,IL
Chicago Raw,Chicago,IL
Chicago Diner,Chicago,IL
Orange Restaurant Chicago,Chicago,IL
"S Lake Shore Dr, Chicago, IL 60637, USA",Chicago,IL
"S Lake Shore Dr, Chicago, IL 60637, USA",Chicago,IL
Chicago History Museum,Chicago,IL
Columbia College Chicago ,Chicago,IL
"Terminal 3, Chicago, IL 60666, USA",Chicago,IL
"McCormick Place - North Building, Chicago, IL 60616, USA",Chicago,IL
"5420 N Clark St, Chicago, IL 60640, USA",Chicago,IL
Chicago Airport,Chicago,IL
"Navy Pier, 600 E Grand Ave, Chicago, IL 60611, USA",Chicago,IL
Laugh Out Loud Theater Chicago,Chicago,IL
Chicago O’Hare Internartional Airport - Terminal 3,Chicago,IL
"University of Chicago, KCBD",Chicago,IL
Chicago Institute of Art,Chicago,IL
Zachary's Chicago Pizza,Oakland,CA
Zachary's Chicago pizza,Oakland,CA
Brideview Bank Building,Chicago,IL
Starbucks,Chicago,IL
IIT/Life Sciences Building,Chicago,IL
UIC School of Public Health,Chicago,IL
Trader Joe's,Chicago,IL
Jackalope Coffee & Tea House,Chicago,IL
Jackalope Coffee & Tea House,Chicago,IL
Star Lounge Coffee Bar,Chicago,IL
Ryo Sushi,Chicago,IL
JJ Thai Street Food,Chicago,IL
Beauty Bar,Chicago,IL
Snow Gragon Shavery,Chicago,IL
Lurie Children's hospital,Chicago,IL
Eataly,Chicago,IL
Museum of Contemporary Art,Chicago,IL
Heritage restaurant ,Chicago,IL
Heritage restaurant ,Chicago,IL
Atomic Cafe,Chicago,IL
Cafe Southside ,Minneapolis,MN
Modern Times Cafe,Minneapolis,MN
Modern Times Cafe,Minneapolis,MN
Modern Times Cafe,Minneapolis,MN
StevenBe,Minneapolis,MN
El Burrito,Minneapolis,MN
